Date,Account,daily_pnl,daily_volume,total_trades,winning_trades,losing_trades,long_trades,short_trades,avg_leverage,max_leverage,win_rate,long_short_ratio,Classification,Sentiment_Value
2024-02-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,241.24212,6758.73,15,2,0,0,0,1.080921633949074,1.7537286726772696,100.0,0.0,Greed,62
2024-02-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,770.756024,26051.12,10,4,0,0,0,3.047196497438544,7.0458598088450035,100.0,0.0,Greed,66
2024-02-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,983.443176,212311.82,34,7,0,0,0,7.148936348817771,50.0,100.0,0.0,Greed,71
2024-02-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,913.8817869999998,227247.69999999998,16,6,9,0,0,15.100509968740917,50.0,40.0,0.0,Greed,70
2024-02-13,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,559.44389,1999.99,14,14,0,0,0,1.0,1.0,100.0,0.0,Extreme Greed,79
2024-02-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3639.3031690000003,218138.7,88,79,1,0,0,2.9953853363270966,37.10247214061176,98.75,0.0,Greed,74
2024-02-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,191.29666400000002,102701.18,23,4,0,0,0,5.333729102988947,41.68322781183431,100.0,0.0,Greed,74
2024-02-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1024.70728,76437.88,52,49,0,0,0,2.075770566120276,31.51853040656985,100.0,0.0,Greed,72
2024-02-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,816.0903969999999,108750.16,11,8,3,0,0,10.91207806253082,46.1051852996747,72.72727272727273,0.0,Greed,72
2024-02-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5491.768834,464143.87,170,146,0,0,0,3.233765731139966,38.74216821761823,100.0,0.0,Greed,72
2024-02-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,100752.64,12,0,0,0,0,9.481080702906802,43.818880056765956,,0.0,Greed,72
2024-02-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1670.012358,202359.19,64,54,0,0,0,3.6940345833924235,32.140330786737046,100.0,0.0,Extreme Greed,76
2024-02-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,259.62944200000004,203758.88,30,7,4,0,0,7.436741387216547,50.0,63.63636363636363,0.0,Extreme Greed,76
2024-02-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,477.6248299999999,157048.17,97,61,7,0,0,2.052316362667788,19.70862630021087,89.70588235294117,0.0,Greed,72
2024-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4325.827543,236374.11,95,76,0,0,0,3.1093563556399832,42.728852266535,100.0,0.0,Extreme Greed,75
2024-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-8.05898,50003.09,6,1,2,0,0,9.164783979876624,16.89937161321652,33.33333333333333,0.0,Extreme Greed,75
2024-02-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3053.31353,117709.42,35,27,1,0,0,4.078578463477417,19.169068142489348,96.42857142857143,0.0,Greed,72
2024-02-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,210.315294,1710.3,4,4,0,0,0,1.0773332662983839,1.3093330651935353,100.0,0.0,Greed,72
2024-02-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1858.7985700000002,98041.92,21,15,0,0,0,5.364584876041478,42.26099808599115,100.0,0.0,Extreme Greed,78
2024-02-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,10005.6,1,0,0,0,0,10.98348613057148,10.98348613057148,,0.0,Extreme Greed,78
2024-02-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3894.1050699999996,368033.23,86,40,14,0,0,4.949148208033166,39.68508869031122,74.07407407407408,0.0,Greed,74
2024-02-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,5000.64,2,0,0,0,0,3.0548383938133443,5.109676787626689,,0.0,Greed,74
2024-02-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1418.55293,111106.14,143,137,1,0,0,1.4520041161673634,44.742579209183674,99.27536231884058,0.0,Extreme Greed,76
2024-02-25,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-30.7705,4480.13,5,0,2,0,0,1.2282572508616105,1.5814283625454937,0.0,0.0,Greed,74
2024-02-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4416.8473,191687.17,37,34,0,0,0,5.693489404429283,50.0,100.0,0.0,Greed,72
2024-02-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,499.96999999999997,2,0,0,0,0,1.0,1.0,,0.0,Greed,72
2024-02-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,312.130593,206785.98,55,19,16,0,0,4.390154045594431,41.66113042878798,54.285714285714285,0.0,Extreme Greed,79
2024-02-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,576.38114,2576.32,8,7,0,0,0,1.0122126187583398,1.0977009500667188,100.0,0.0,Extreme Greed,79
2024-02-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2503.747235,171107.13,45,39,0,0,0,4.460962948749336,40.51428393282038,100.0,0.0,Extreme Greed,82
